objectname;uid_list;comparing_field;where_clause;cleanup
MAXINTOBJALIAS;MAXINTOBJALIASID;;;
MAXINTOBJAPP;MAXINTOBJAPPID;;;
MAXINTOBJCOLS;MAXINTOBJCOLSID;;;
MAXINTOBJDETAIL;MAXINTOBJDETAILID;;;
MAXINTOBJECT;MAXINTOBJECTID;;;
MAXINTPOLICY;MAXINTPOLICYID;;;
MAXINTPOLICYPARAM;MAXINTPOLICYPARAMID;;;
MAXLAUNCHENTRY;MAXLAUNCHENTRYID;;;
MAXLECONTEXT;MAXLECONTEXTID;;;
MAXPROCCOLS;MAXPROCCOLSID;;;
MAXQUEUE;MAXQUEUEID;;;
MAXREPLACEPROC;MAXREPLACEPROCID;;;
MAXTRANSFORMPROC;MAXTRANSFORMPROCID;;;
MAXWSREGISTRY;MAXWSREGISTRYID;;;
OSLCBUSRES;OSLCBUSRESID;;;
OSLCEXTMEDIATYPE;OSLCEXTMEDIATYPEID;;;
OSLCQUERY;OSLCQUERYID;;;
REPORT;REPORTID;;;
REPORTADHOC;REPORTADHOCID;;;
REPORTADHOCCALC;REPORTADHOCCALCID;;;
REPORTADHOCFIELD;REPORTADHOCFIELDID;;;
REPORTADHOCSUM;REPORTADHOCSUMID;;;
REPORTAPPAUTH;REPORTAPPAUTHID;;;
REPORTATTACHDOCS;REPORTATTACHDOCSID;;;
REPORTAUTH;REPORTAUTHID;;;
REPORTBROS;REPORTBROSID;;;
REPORTBROSDPURL;REPORTBROSDPURLID;;;
REPORTBROSPARAM;REPORTBROSPARAMID;;;
REPORTDEPEND;REPORTDEPENDID;;;
REPORTDS;REPORTDSID;;;
REPORTDSPARAM;REPORTDSPARAMID;;;
REPORTEXPVALUE;REPORTEXPVALUEID;;;
REPORTFILEEXPORT;REPORTFILEEXPORTID;;;
REPORTJOB;REPORTJOBID;;;
REPORTLABEL;REPORTLABELID;;;
REPORTLOOKUP;REPORTLOOKUPID;;;
REPORTOSAUTH;REPORTOSAUTHID;;;
REPORTOUTPUT;REPORTOUTPUTID;;;
REPORTOUTPUTAUTH;REPORTOUTPUTAUTHID;;;
REPORTOUTPUTCNT;REPORTOUTPUTCNTID;;;
REPORTPARAM;REPORTPARAMID;;;
REPORTPROCRESERVE;REPORTPROCRESERVEID;;;
REPORTPROCSCHED;REPORTPROCSCHEDID;;;
REPORTRUNLOCK;REPORTRUNLOCKID;;;
REPORTRUNPARAM;REPORTRUNPARAMID;;;
REPORTRUNQUEUE;REPORTRUNQUEUEID;;;
REPORTSCHED;REPORTSCHEDID;;;
REPORTSECATTKEY;REPORTSECATTKEYID;;;
REPORTWHERE;REPORTWHEREID;;;
TASKSCHEDULER;TASKNAME,SERVERNAME;;;
MAXIFACEIN;MAXIFACEINID;;;
MAXIFACEINVOKE;MAXIFACEINVOKEID;;;
OSUSED;OSUSEDID;;;
INBOUNDCOMMCFG;INBOUNDCOMMCFGID;;;
